State,Earliest Comeback Date
Alabama,May-02
Alaska,May-04
Arizona,Apr-30
Arkansas,May-01
California,May-01
Colorado,May-01
Connecticut,Apr-29
Delaware,Apr-27
District of Columbia,Apr-29
Florida,May-01
Georgia,Apr-30
Hawaii,May-04
Idaho,May-03
Illinois,Apr-29
Indiana,Apr-29
Iowa,Apr-28
Kansas,Apr-29
Kentucky,Apr-29
Louisiana,May-03
Maine,May-03
Maryland,Apr-28
Massachusetts,Apr-29
Michigan,May-03
Minnesota,Apr-29
Mississippi,Apr-28
Missouri,May-02
Montana,May-04
Nebraska,Apr-28
Nevada,May-03
New Hampshire,Apr-30
New Jersey,May-01
New Mexico,Apr-29
New York,May-03
North Carolina,Apr-30
North Dakota,Apr-28
Ohio,Apr-28
Oklahoma,May-03
Oregon,May-02
Pennsylvania,Apr-30
Rhode Island,Apr-24
South Carolina,May-02
South Dakota,Apr-23
Tennessee,May-03
Texas,Apr-30
Utah,Apr-30
Vermont,May-04
Virginia,Apr-27
Washington,May-03
West Virginia,May-01
Wisconsin,May-02
Wyoming,May-04
